assetID,lat,lon,vs30,fragilityModel,censusTract,occType,occupancy,strType,designLevel
249,37.5814599,-122.3897966,360,RM1L-m-GOV2-DF,6081605000,GOV,GOV2,RM1L,MS
250,37.5814599,-122.3897966,360,C1L-m-IND1-DF,6081605000,IND,IND1,C1L,MC
251,37.5814599,-122.3897966,360,PC2L-m-IND2-DF,6081605000,IND,IND2,PC2L,MC
252,37.5814599,-122.3897966,360,S3-m-IND2-DF,6081605000,IND,IND2,S3,MC
253,37.5814599,-122.3897966,360,S4L-m-IND2-DF,6081605000,IND,IND2,S4L,MC
254,37.5814599,-122.3897966,360,S5L-p-IND2-DF,6081605000,IND,IND2,S5L,PC
255,37.5814599,-122.3897966,360,C2L-m-IND5-DF,6081605000,IND,IND5,C2L,MC
256,37.5814599,-122.3897966,360,PC1-m-IND5-DF,6081605000,IND,IND5,PC1,MC
257,37.5814599,-122.3897966,360,RM2L-m-IND5-DF,6081605000,IND,IND5,RM2L,MC
258,37.5814599,-122.3897966,360,S2L-m-IND5-DF,6081605000,IND,IND5,S2L,MC
259,37.5814599,-122.3897966,360,S2M-m-IND5-DF,6081605000,IND,IND5,S2M,MC
260,37.5814599,-122.3897966,360,S3-m-IND5-DF,6081605000,IND,IND5,S3,MC
261,37.5814599,-122.3897966,360,C2L-p-IND6-DF,6081605000,IND,IND6,C2L,PC
262,37.5814599,-122.3897966,360,C2L-h-IND6-DF,6081605000,IND,IND6,C2L,VC
263,37.5814599,-122.3897966,360,PC1-m-IND6-DF,6081605000,IND,IND6,PC1,MC
264,37.5814599,-122.3897966,360,RM1L-h-IND6-DF,6081605000,IND,IND6,RM1L,HC
265,37.5814599,-122.3897966,360,RM2L-m-IND6-DF,6081605000,IND,IND6,RM2L,MC
266,37.5814599,-122.3897966,360,W1-m-IND6-DF,6081605000,IND,IND6,W1,MC
267,37.5814599,-122.3897966,360,RM2L-m-REL1-DF,6081605000,REL,REL1,RM2L,MC
268,37.5814599,-122.3897966,360,S1L-h-REL1-DF,6081605000,REL,REL1,S1L,HC
269,37.5814599,-122.3897966,360,S2L-m-REL1-DF,6081605000,REL,REL1,S2L,MC
270,37.5814599,-122.3897966,360,S3-m-REL1-DF,6081605000,REL,REL1,S3,MC
271,37.5814599,-122.3897966,360,W1-h-RES1-DF,6081605000,RES,RES1,W1,HC
272,37.5814599,-122.3897966,360,W1-m-RES1-DF,6081605000,RES,RES1,W1,MC
273,37.5814599,-122.3897966,360,W1-h-RES1-DF,6081605000,RES,RES1,W1,VC
274,37.5814599,-122.3897966,360,W2-h-RES1-DF,6081605000,RES,RES1,W2,HC
275,37.5814599,-122.3897966,360,C2L-m-RES3AF-DF,6081605000,RES,RES3A,C2L,MC
276,37.5814599,-122.3897966,360,C2L-p-RES3AF-DF,6081605000,RES,RES3A,C2L,PC
277,37.5814599,-122.3897966,360,C3L-p-RES3AF-DF,6081605000,RES,RES3A,C3L,PC
278,37.5814599,-122.3897966,360,RM1L-m-RES3AF-DF,6081605000,RES,RES3A,RM1L,MC
