AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,occupancy,strType,occType,designLevel,censusTract,ExpectedLoss
"208",37.581460,-122.389797,360,4513.62,"RM2L-m-COM4-DF","COM4","RM2L","COM","MC","6081605000",NaN
"209",37.581460,-122.389797,360,895.56,"S1M-m-COM4-DF","COM4","S1M","COM","MC","6081605000",NaN
"210",37.581460,-122.389797,360,895.56,"S3-m-COM4-DF","COM4","S3","COM","MC","6081605000",NaN
"211",37.581460,-122.389797,360,895.56,"S4L-h-COM4-DF","COM4","S4L","COM","VC","6081605000",NaN
"212",37.581460,-122.389797,360,1791.12,"S4M-m-COM4-DF","COM4","S4M","COM","MC","6081605000",NaN
"213",37.581460,-122.389797,360,2686.68,"URML-p-COM4-DF","COM4","URML","COM","PC","6081605000",NaN
"214",37.581460,-122.389797,360,859.74,"W1-h-COM4-DF","COM4","W1","COM","HC","6081605000",NaN
"215",37.581460,-122.389797,360,9027.25,"W1-m-COM4-DF","COM4","W1","COM","MC","6081605000",NaN
"216",37.581460,-122.389797,360,859.74,"W1-h-COM4-DF","COM4","W1","COM","VC","6081605000",NaN
"217",37.581460,-122.389797,360,3582.24,"W2-m-COM4-DF","COM4","W2","COM","MC","6081605000",NaN
"218",37.581460,-122.389797,360,1851.47,"C2M-m-COM5-DF","COM5","C2M","COM","MC","6081605000",NaN
"219",37.581460,-122.389797,360,1851.47,"RM1L-m-COM5-DF","COM5","RM1L","COM","MC","6081605000",NaN
"220",37.581460,-122.389797,360,1851.47,"S1M-m-COM5-DF","COM5","S1M","COM","MC","6081605000",NaN
"221",37.581460,-122.389797,360,5336.59,"W1-m-COM5-DF","COM5","W1","COM","MC","6081605000",NaN
"222",37.581460,-122.389797,360,64428.38,"C2L-m-COM6-DF","COM6","C2L","COM","MS","6081605000",NaN
"223",37.581460,-122.389797,360,64428.38,"C2M-m-COM6-DF","COM6","C2M","COM","MS","6081605000",NaN
"224",37.581460,-122.389797,360,130809.10,"RM1L-m-COM6-DF","COM6","RM1L","COM","MS","6081605000",NaN
"225",37.581460,-122.389797,360,64428.38,"RM2L-m-COM6-DF","COM6","RM2L","COM","MS","6081605000",NaN
"226",37.581460,-122.389797,360,66380.75,"W2-m-COM6-DF","COM6","W2","COM","MS","6081605000",NaN
"227",37.581460,-122.389797,360,3961.56,"C1M-m-COM7-DF","COM7","C1M","COM","MC","6081605000",NaN
"228",37.581460,-122.389797,360,7626.00,"RM1L-m-COM7-DF","COM7","RM1L","COM","MC","6081605000",NaN
"229",37.581460,-122.389797,360,3928.55,"RM1M-m-COM7-DF","COM7","RM1M","COM","MC","6081605000",NaN
"230",37.581460,-122.389797,360,11554.55,"RM2M-m-COM7-DF","COM7","RM2M","COM","MC","6081605000",NaN
"231",37.581460,-122.389797,360,4040.79,"S2L-m-COM7-DF","COM7","S2L","COM","MC","6081605000",NaN
"232",37.581460,-122.389797,360,3921.94,"S3-p-COM7-DF","COM7","S3","COM","PC","6081605000",NaN
"233",37.581460,-122.389797,360,3921.94,"S4M-m-COM7-DF","COM7","S4M","COM","MC","6081605000",NaN
"234",37.581460,-122.389797,360,23280.77,"W1-m-COM7-DF","COM7","W1","COM","MC","6081605000",NaN
"235",37.581460,-122.389797,360,3789.89,"W2-m-COM7-DF","COM7","W2","COM","MC","6081605000",NaN
