assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
108,39.2634436,-121.5062545,360,4916.683,W2-m-COM4-DF,6115041001,COM,COM4,W2,MC,W2-MC-COM4
109,39.2634436,-121.5062545,360,1362,S2L-m-COM5-DF,6115041001,COM,COM5,S2L,MC,S2L-MC-COM5
110,39.2634436,-121.5062545,360,1362,W2-m-COM5-DF,6115041001,COM,COM5,W2,MC,W2-MC-COM5
111,39.2634436,-121.5062545,360,829,S4L-m-COM7-DF,6115041001,COM,COM7,S4L,MC,S4L-MC-COM7
112,39.2634436,-121.5062545,360,2111.67,C2L-m-COM8-DF,6115041001,COM,COM8,C2L,MC,C2L-MC-COM8
113,39.2634436,-121.5062545,360,1055.835,RM1L-m-COM8-DF,6115041001,COM,COM8,RM1L,MC,RM1L-MC-COM8
114,39.2634436,-121.5062545,360,1055.835,RM2L-m-COM8-DF,6115041001,COM,COM8,RM2L,MC,RM2L-MC-COM8
115,39.2634436,-121.5062545,360,1087.83,S1L-m-COM8-DF,6115041001,COM,COM8,S1L,MC,S1L-MC-COM8
116,39.2634436,-121.5062545,360,1087.83,S4L-m-COM8-DF,6115041001,COM,COM8,S4L,MC,S4L-MC-COM8
117,39.2634436,-121.5062545,360,5580,S2L-m-EDU1-DF,6115041001,EDU,EDU1,S2L,MS,S2L-MS-EDU1
118,39.2634436,-121.5062545,360,5580,W2-m-EDU1-DF,6115041001,EDU,EDU1,W2,MS,W2-MS-EDU1
119,39.2634436,-121.5062545,360,4313,C2L-m-IND1-DF,6115041001,IND,IND1,C2L,MC,C2L-MC-IND1
120,39.2634436,-121.5062545,360,5542.896,PC1-m-IND2-DF,6115041001,IND,IND2,PC1,MC,PC1-MC-IND2
121,39.2634436,-121.5062545,360,2730.083,PC2L-m-IND2-DF,6115041001,IND,IND2,PC2L,MC,PC2L-MC-IND2
122,39.2634436,-121.5062545,360,5442.75,RM1L-m-IND2-DF,6115041001,IND,IND2,RM1L,MC,RM1L-MC-IND2
123,39.2634436,-121.5062545,360,2658.239,S1L-m-IND2-DF,6115041001,IND,IND2,S1L,MC,S1L-MC-IND2
124,39.2634436,-121.5062545,360,2738.792,S3-m-IND2-DF,6115041001,IND,IND2,S3,MC,S3-MC-IND2
125,39.2634436,-121.5062545,360,2658.239,S4L-m-IND2-DF,6115041001,IND,IND2,S4L,MC,S4L-MC-IND2
126,39.2634436,-121.5062545,360,4625.375,C1L-m-IND3-DF,6115041001,IND,IND3,C1L,MC,C1L-MC-IND3
127,39.2634436,-121.5062545,360,43170.17,C2L-m-IND3-DF,6115041001,IND,IND3,C2L,MC,C2L-MC-IND3
128,39.2634436,-121.5062545,360,80173.17,PC1-m-IND3-DF,6115041001,IND,IND3,PC1,MC,PC1-MC-IND3
