assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,occ,designlevel
748166,36.2136987,-119.1045232,360,164489.0,W1-m-RES1-DF,06107002601,RES,RES1,W1,MC,RES1,m
748220,38.6137442,-121.3506354,360,64357.0,W1-m-RES1-DF,06067005903,RES,RES1,W1,MC,RES1,m
748266,33.714291,-117.1236656,360,54977.0,W1-m-RES1-DF,06065042726,RES,RES1,W1,MC,RES1,m
748303,34.0780753,-117.6369026,360,273016.2,W1-m-RES1-DF,06071001310,RES,RES1,W1,MC,RES1,m
748357,37.3030351,-120.4432482,360,350109.0,W1-m-RES1-DF,06047001402,RES,RES1,W1,MC,RES1,m
748491,35.5917343,-119.3337642,360,80549.73,W1-m-RES1-DF,06029004402,RES,RES1,W1,MC,RES1,m
748555,37.6833516,-121.7291862,360,141090.5,W1-m-RES1-DF,06001451506,RES,RES1,W1,MC,RES1,m
748628,34.1657154,-117.347706,360,139711.3,W1-m-RES1-DF,06071004101,RES,RES1,W1,MC,RES1,m
748663,34.1510661,-119.180831,360,6219.72,W1-m-RES1-DF,06111004508,RES,RES1,W1,MC,RES1,m
748732,37.9403403,-121.8011252,360,42956.05,W1-m-RES1-DF,06013355119,RES,RES1,W1,MC,RES1,m
748811,37.9691106,-122.0203707,360,356498.9,W1-m-RES1-DF,06013335000,RES,RES1,W1,MC,RES1,m
748884,39.0907287,-121.6619764,360,662238.9,W1-m-RES1-DF,06101050504,RES,RES1,W1,MC,RES1,m
748940,32.717631,-117.1381733,360,39090.54,W1-m-RES1-DF,06073004501,RES,RES1,W1,MC,RES1,m
749110,38.8133955,-123.0170717,360,176553.4,W1-m-RES1-DF,06097154201,RES,RES1,W1,MC,RES1,m
749255,38.5549366,-122.4312603,360,515877.3,W1-m-RES1-DF,06055201700,RES,RES1,W1,MC,RES1,m
749359,37.7778323,-122.2835979,360,38197.7,W1-m-RES1-DF,06001427600,RES,RES1,W1,MC,RES1,m
749462,33.8282532,-117.914757,360,355626.4,W1-m-RES1-DF,06059087401,RES,RES1,W1,MC,RES1,m
749603,32.9125345,-117.1878012,360,114608.2,W1-m-RES1-DF,06073008346,RES,RES1,W1,MC,RES1,m
749721,32.6770025,-116.5411958,360,128419.2,W1-m-RES1-DF,06073021101,RES,RES1,W1,MC,RES1,m
