AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"137",39.263444,-121.506255,360,4282.76,"W1-m-IND3-DF","6115041001","IND","IND3","W1","MC",NaN
"138",39.263444,-121.506255,360,4282.76,"W2-m-IND3-DF","6115041001","IND","IND3","W2","MC",NaN
"139",39.263444,-121.506255,360,2196.00,"W1-m-IND5-DF","6115041001","IND","IND5","W1","MC",NaN
"140",39.263444,-121.506255,360,1691.45,"C2L-m-IND6-DF","6115041001","IND","IND6","C2L","MC",NaN
"141",39.263444,-121.506255,360,2562.80,"PC1-m-IND6-DF","6115041001","IND","IND6","PC1","MC",NaN
"142",39.263444,-121.506255,360,871.35,"PC2L-m-IND6-DF","6115041001","IND","IND6","PC2L","MC",NaN
"143",39.263444,-121.506255,360,834.40,"RM1L-m-IND6-DF","6115041001","IND","IND6","RM1L","MC",NaN
"144",39.263444,-121.506255,360,1668.80,"S3-m-IND6-DF","6115041001","IND","IND6","S3","MC",NaN
"145",39.263444,-121.506255,360,3432.96,"W1-m-IND6-DF","6115041001","IND","IND6","W1","MC",NaN
"146",39.263444,-121.506255,360,858.24,"W2-m-IND6-DF","6115041001","IND","IND6","W2","MC",NaN
"147",39.263444,-121.506255,360,1553.64,"PC1-m-REL1-DF","6115041001","REL","REL1","PC1","MC",NaN
"148",39.263444,-121.506255,360,1553.64,"S3-m-REL1-DF","6115041001","REL","REL1","S3","MC",NaN
"149",39.263444,-121.506255,360,1600.72,"W2-m-REL1-DF","6115041001","REL","REL1","W2","MC",NaN
"150",39.263444,-121.506255,360,29983.68,"W1-l-RES1-DF","6115041001","RES","RES1","W1","LC",NaN
"151",39.263444,-121.506255,360,299836.80,"W1-m-RES1-DF","6115041001","RES","RES1","W1","MC",NaN
"152",39.263444,-121.506255,360,3331.52,"W2-m-RES1-DF","6115041001","RES","RES1","W2","MC",NaN
"153",39.263444,-121.506255,360,1311.72,"MH-l-RES2-DF","6115041001","RES","RES2","MH","LC",NaN
"154",39.263444,-121.506255,360,41975.04,"MH-m-RES2-DF","6115041001","RES","RES2","MH","MC",NaN
"155",39.263444,-121.506255,360,437.24,"MH-p-RES2-DF","6115041001","RES","RES2","MH","PC",NaN
"156",39.263444,-121.506255,360,2678.93,"C2L-m-RES3AF-DF","6115041001","RES","RES3A","C2L","MC",NaN
"157",39.263444,-121.506255,360,400.30,"PC2L-m-RES3AF-DF","6115041001","RES","RES3A","PC2L","MC",NaN
"158",39.263444,-121.506255,360,1319.67,"RM1L-m-RES3AF-DF","6115041001","RES","RES3A","RM1L","MC",NaN
"159",39.263444,-121.506255,360,870.98,"S1L-m-RES3AF-DF","6115041001","RES","RES3A","S1L","MC",NaN
"160",39.263444,-121.506255,360,1319.67,"S3-m-RES3AF-DF","6115041001","RES","RES3A","S3","MC",NaN
"161",39.263444,-121.506255,360,448.69,"S4L-m-RES3AF-DF","6115041001","RES","RES3A","S4L","MC",NaN
